study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB5235	SAMEA2340787	ERX384362	ERR418062	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418062/ERR418062.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418062/ERR418062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418062/ERR418062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418062/RF_026_SZAXPI009306-142.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418062
PRJEB5235	SAMEA2340788	ERX384363	ERR418063	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418063/ERR418063.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418063/ERR418063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418063/ERR418063_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418063/RF_027_SZAXPI009307-158.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418063
PRJEB5235	SAMEA2340789	ERX384364	ERR418064	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418064/ERR418064.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418064/ERR418064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418064/ERR418064_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418064/RF_028_SZAXPI009308-166.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418064
PRJEB5235	SAMEA2340790	ERX384365	ERR418065	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418065/ERR418065.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418065/ERR418065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418065/ERR418065_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418065/RF_029_SZAXPI009309-169.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418065
PRJEB5235	SAMEA2340791	ERX384366	ERR418066	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418066/ERR418066.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418066/ERR418066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418066/ERR418066_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418066/RF_030_SZAXPI009310-62.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418066
PRJEB5235	SAMEA2340792	ERX384367	ERR418067	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418067/ERR418067.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418067/ERR418067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418067/ERR418067_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418067/RF_031_SZAXPI009311-74.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418067
PRJEB5235	SAMEA2340793	ERX384368	ERR418068	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418068/ERR418068.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418068/ERR418068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418068/ERR418068_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418068/RF_032_SZAXPI009312-75.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418068
PRJEB5235	SAMEA2340794	ERX384369	ERR418069	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418069/ERR418069.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418069/ERR418069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418069/ERR418069_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418069/RF_033_SZAXPI009313-79.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418069
PRJEB5235	SAMEA2340795	ERX384370	ERR418070	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418070/ERR418070.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418070/ERR418070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418070/ERR418070_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418070/RF_034_SZAXPI009314-84.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418070
PRJEB5235	SAMEA2340796	ERX384371	ERR418071	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418071/ERR418071.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418071/ERR418071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418071/ERR418071_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418071/RF_035_SZAXPI009315-87.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418071
